f0,jit,hnr,shim,Period,Male.ID,Track,Date_Code,MaxTemp,Spontaneous
226.6276706,0.021274485,13.03430732,0.126687665,Pre,B,1104,42078,28,1
308.2893479,0.03835312,7.261742617,0.158194565,Pre,B,1105,42078,28,1
277.3970428,0.031212118,9.958383649,0.170749041,Pre,B,1106,42078,28,1
257.0793929,0.030740966,8.649915883,0.146088634,Pre,B,1118,42081,28,0
299.4377602,0.027700802,12.44376436,0.122950935,Pre,B,1119,42081,28,0
274.5296146,0.023167093,13.43525402,0.114733572,Pre,B,1120,42081,28,1
251.5468615,0.024775081,12.40480536,0.142346941,Pre,B,1121,42081,28,1
210.4455653,0.010190236,16.99332937,0.082343962,Pre,B,1122,42081,28,1
278.8482603,0.030668006,10.85164737,0.166290553,Pre,B,1124,42082,29,1
272.5986902,0.032549347,6.330816323,0.174267904,Pre,A,1131,42086,27.5,1
274.4971198,0.013745634,17.92815123,0.086819226,Pre,A,1168,42091,29.5,1
248.8981614,0.016228288,14.65723231,0.103385428,Pre,A,1198,42093,29,1
299.1256497,0.015782438,18.51960795,0.101491594,Pre,A,1211,42094,30,1
245.919479,0.018122051,14.40359729,0.104257906,Pre,D,1222,42110,28,1
279.7466076,0.01703406,14.04121194,0.114923234,Pre,D,1244,42111,28,1
276.213902,0.022359964,12.35528107,0.148539976,Pre,A,479,42149,28,1
308.0969316,0.021845256,12.20612443,0.1463632,Pre,A,480,42149,28,1
273.3175718,0.011886932,18.00667374,0.076973024,Pre,A,484,42150,28,0
276.5425566,0.017419527,15.18953614,0.100209412,Pre,A,485,42150,28,1
272.7937033,0.010284531,20.68585898,0.068459373,Pre,A,1427,42150,28,1
335.9722421,0.027019112,11.03942183,0.126984167,Pre,A,486,42151,28,1
207.7152055,0.021064856,12.09447214,0.130096658,Pre,A,488,42151,28,1
291.9667085,0.020976141,13.23339291,0.115362588,Pre,A,489,42152,26,1
274.4434382,0.019835005,16.21636101,0.11293184,Pre,A,1431,42152,26,1
273.4575646,0.023165611,12.61068221,0.134062976,Pre,C,1436,42162,28,0
318.3068417,0.02944578,11.00199366,0.132546544,Pre,C,1437,42162,28,1
235.1707987,0.013894373,18.6468575,0.078440037,Pre,C,1447,42163,28,1
266.7627432,0.012110972,20.93966486,0.053011573,Pre,C,1448,42163,28,1
217.4030966,0.028423878,12.4983935,0.123608989,Pre,C,1450,42163,28,0
324.7679017,0.026466537,12.02209895,0.108923762,Pre,C,1452,42164,28.5,0
253.5478907,0.016860645,15.2320184,0.100290474,Pre,C,1465b,42165,27,0
233.3945941,0.014175663,15.9180617,0.083296266,Pre,C,1466,42165,27,1
307.0161496,0.023380527,14.23775491,0.14097508,Pre,D,1482,42188,27,1
266.4620534,0.016515803,15.0833004,0.112900435,Pre,D,1485,42188,27,1
280.9843329,0.015719469,15.58722357,0.097014856,Pre,D,1488,42188,27,1
272.3163595,0.012914272,14.57518255,0.102267512,Pre,D,1491,42188,27,1
252.4220894,0.015174249,16.90334508,0.09421945,Pre,D,1493,42188,27,1
305.6539751,0.022329995,14.54042383,0.124323572,Pre,D,1498,42189,27,1
232.3648128,0.013037577,20.22445016,0.079676905,Pre,D,1503,42189,27,0
307.7855674,0.009841237,18.93688123,0.071309392,Pre,D,1504,42189,27,1
243.1920601,0.011922701,21.18634167,0.077977971,Pre,D,1506,42189,27,0
251.0553253,0.010676248,17.20046486,0.088624128,Pre,D,1508,42189,27,1
280.1316993,0.013248592,15.52069075,0.104226512,Pre,D,1510,42189,27,1
248.7060488,0.018863854,15.87144388,0.108742627,Pre,D,1511,42189,27,0
286.8877104,0.020783665,15.60991802,0.131222208,Pre,D,1518,42190,26,1
240.1148229,0.006220015,25.13254305,0.033645218,Pre,D,1521,42190,26,1
227.9821335,0.007553956,22.81685395,0.042326594,Pre,D,1522,42190,26,0
269.3287148,0.0124895,17.77557489,0.090744149,Pre,D,1524,42190,26,0
272.4110575,0.008245349,21.13707284,0.059493312,Pre,D,1526,42190,26,1
272.4943058,0.014153573,18.5679324,0.089477922,Pre,D,1529,42190,26,1
310.1854332,0.019008693,13.78141222,0.111443172,Pre,D,1530,42191,27,0
270.1983308,0.011536907,23.49226726,0.067627759,Pre,D,1532,42191,27,1
205.161153,0.007122518,20.80851007,0.057579163,Pre,D,1536,42191,27,0
278.0566212,0.022248676,16.48053384,0.130101446,Pre,D,1540,42192,28,1
303.977543,0.013094995,18.54000813,0.084447848,Pre,D,1541,42192,28,1
230.6775355,0.016190193,17.29841595,0.084222917,Pre,D,1543,42192,28,1
306.9951294,0.019473045,13.1869962,0.123681105,Pre,D,1544,42192,28,1
230.2727451,0.009862169,19.17019533,0.052052195,Smoke,D,562,42251,28,1
253.3570244,0.017653247,16.3350454,0.101817687,Smoke,D,567,42251,28,1
249.3986073,0.015222354,16.78232741,0.089832332,Smoke,D,571,42252,28,1
185.9651545,0.006658901,21.25469117,0.024431201,Smoke,D,574,42252,28,0
274.0077755,0.019853492,13.81067129,0.11010177,Smoke,D,575,42253,28,0
251.4082104,0.012541765,18.83604587,0.076600918,Smoke,D,581,42253,28,0
234.2670282,0.012959727,18.51627238,0.082550613,Smoke,D,583,42253,28,1
303.426262,0.022024341,11.93775845,0.128778168,Smoke,D,584,42253,28,1
232.1391329,0.014347296,16.41062015,0.094503432,Smoke,D,588,42253,28,1
217.6558237,0.01866212,15.37792654,0.12291058,Smoke,D,592,42253,28,0
246.4638858,0.020320404,13.20875237,0.137110429,Smoke,D,593,42253,28,1
207.1526,0.020303549,11.33707259,0.104004772,Smoke,D,594,42253,28,1
255.0187384,0.015875054,17.45523896,0.102292874,Smoke,D,595,42253,28,1
269.3966356,0.017967797,15.37337703,0.100418457,Smoke,D,597,42253,28,1
284.7146949,0.034038699,7.271087515,0.165210502,Smoke,B,606,42261,29.5,1
249.2703323,0.031760907,9.105482022,0.191787225,Smoke,B,610,42262,28.5,1
308.1092679,0.027714141,13.98170426,0.133931274,Smoke,B,613,42262,28.5,0
203.6678714,0.013531818,22.17126058,0.064541246,Smoke,B,614,42262,28.5,1
333.6670641,0.032856265,12.55584325,0.153479843,Smoke,B,615,42262,28.5,1
293.2138051,0.02941797,12.58610249,0.140573182,Smoke,B,616,42262,28.5,1
286.4731211,0.024062498,13.85009442,0.142962934,Smoke,B,617,42262,28.5,1
258.9053457,0.03286748,9.63949967,0.175554923,Smoke,B,633,42264,31,1
265.5946156,0.042786753,5.994190195,0.235187758,Smoke,B,1589,42265,28,1
219.9196188,0.04284097,7.475293553,0.164422998,Smoke,B,672,42265,28,1
263.1205045,0.028283152,11.42912119,0.135019968,Smoke,C,676,42270,28,0
190.6191827,0.014306754,15.92028413,0.132174509,Smoke,C,678,42270,28,1
194.3631137,0.015598198,19.18506875,0.049978357,Smoke,C,679,42270,28,1
249.8676586,0.018957133,17.52124475,0.074983417,Smoke,C,680,42271,28.5,1
257.9969413,0.016528575,16.73844654,0.086343232,Smoke,C,682,42271,28.5,1
283.7859413,0.016304476,12.65039716,0.095120696,Smoke,C,706,42271,28.5,1
248.8495476,0.023738823,14.1700291,0.115585853,Smoke,C,1609,42272,27,0
232.5182766,0.009126745,21.18532934,0.049784521,Smoke,C,713,42272,27,1
273.8706885,0.029754157,13.1019897,0.106054013,Smoke,C,729,42273,29,1
278.9072575,0.019216278,13.73916827,0.09852073,Smoke,C,732,42273,29,1
258.6359211,0.012616697,19.42517322,0.072691845,Smoke,D,736,42273,29,1
319.0801269,0.02514511,13.61713926,0.140327172,Smoke,D,741,42274,NA,1
205.0407786,0.015757378,16.52506172,0.081951697,Smoke,D,744,42274,NA,1
246.1901946,0.021211252,13.85564078,0.128453473,Smoke,D,749,42274,NA,0
295.3388041,0.016610183,17.71330689,0.100903608,Smoke,D,1635,42274,NA,1
297.2681742,0.010668514,18.59811406,0.051856568,Smoke,D,754,42275,NA,1
213.0264536,0.012054367,16.87242964,0.072008618,Smoke,D,755,42275,NA,1
222.4806769,0.01052679,17.83705255,0.072734279,Smoke,D,757,42275,NA,0
241.8762693,0.020706118,10.68203955,0.132387346,Smoke,A,1654,42285,NA,1
273.14709,0.015005904,16.76945128,0.092016674,Smoke,A,1662,42286,29,1
280.7821692,0.042462116,5.791963847,0.188345267,Smoke,A,1670,42287,28.5,1
242.2372047,0.023805763,13.6548255,0.118594045,Smoke,A,1671,42287,28.5,1
295.3688468,0.026714421,12.68873519,0.117106805,Smoke,C,765,42291,30,1
286.6483679,0.038833421,10.53047219,0.198508552,Smoke,C,1673,42292,29,1
266.93991,0.026599728,13.32265966,0.109700331,Smoke,A,1681,42293,28,0
250.1722357,0.027404552,12.39638516,0.137688484,Smoke,A,1682,42293,28,1
300.02726,0.035569714,6.311124195,0.19578644,Smoke,A,1685,42294,27.8,1